Agency,AgencyFull,Country,Total,FirstHalf,SecondHalf,SubSector,Sector,AgencyType,Ccode
UNHCR,UNHCR,Slovenia,1,,,Advocacy,Advocacy,NGO,Slovenia
UNHCR,UNHCR,Slovenia,1,,,Border Monitoring,Border Monitoring,INGO,Slovenia
UNHCR,UNHCR,Slovenia,1,,,Capacity Building,Capacity Building,INGO,Slovenia
UNHCR,UNHCR,Slovenia,1,,,Child Protection Monitoring,Child Protection Monitoring,INGO,Slovenia
UNHCR,UNHCR,Slovenia,1,,,Communication with Children,Communication with Children,INGO,Slovenia
UNHCR,UNHCR,Slovenia,1,,,Coordination,Coordination,INGO,Slovenia
UNHCR,UNHCR,Slovenia,1,,,Detention Monitoring,Detention Monitoring,INGO,Slovenia
UNHCR,UNHCR,Slovenia,1,,,Dublin Family Reunification,Dublin Family Reunification,INGO,Slovenia
UNHCR,UNHCR,Slovenia,1,,,Family Tracing,Family Tracing,INGO,Slovenia
UNHCR,UNHCR,Slovenia,1,,,Identification and Referral of Children at Risk,Identification and Referral of Children at Risk,INGO,Slovenia
UNHCR,UNHCR,Slovenia,1,,,Legal Counselling,Legal Counselling,INGO,Slovenia
UNHCR,UNHCR,Slovenia,1,,,Resettlement,Resettlement,INGO,Slovenia
UNHCR,UNHCR,Slovenia,1,,,Strategic Litigation,Strategic Litigation,INGO,Slovenia
UNICEF,UNICEF,Slovenia,1,,,Identification and Referral of Children at Risk,Identification and Referral of Children at Risk,INGO,Slovenia
Ministry of Interior,Ministry of Interior,Slovenia,1,,,Coordination,Coordination,INGO,Slovenia
Ministry of Interior,Ministry of Interior,Slovenia,1,,,Integration,Integration,INGO,Slovenia
Ministry of Interior,Ministry of Interior,Slovenia,1,,,Medical assistance,Medical assistance,NGO,Slovenia
Ministry of Interior,Ministry of Interior,Slovenia,1,,,Resettlement,Resettlement,NGO,Slovenia
Ministry of Interior,Ministry of Interior,Slovenia,1,,,Safe accomodation,Safe accomodation,NGO,Slovenia
Migration Office,Migration Office,Slovenia,1,,,BIA,BIA,INGO,Slovenia
Migration Office,Migration Office,Slovenia,1,,,BID,BID,INGO,Slovenia
Migration Office,Migration Office,Slovenia,1,,,Child Friendly Spaces,Child Friendly Spaces,INGO,Slovenia
Migration Office,Migration Office,Slovenia,1,,,Dublin Family Reunification,Dublin Family Reunification,INGO,Slovenia
Migration Office,Migration Office,Slovenia,1,,,Identification and Referral of Children at Risk,Identification and Referral of Children at Risk,INGO,Slovenia
Migration Office,Migration Office,Slovenia,1,,,Improving reception facilities,Improving reception facilities,NGO,Slovenia
PIC,PIC,Slovenia,1,,,Advocacy,Advocacy,NGO,Slovenia
PIC,PIC,Slovenia,1,,,Border Monitoring,Border Monitoring,NGO,Slovenia
PIC,PIC,Slovenia,1,,,Detention Monitoring,Detention Monitoring,NGO,Slovenia
PIC,PIC,Slovenia,1,,,Legal Counselling,Legal Counselling,NGO,Slovenia
PIC,PIC,Slovenia,1,,,Voluntary return,Voluntary return,NGO,Slovenia
Centre for Social Work,Centre for Social Work,Slovenia,1,,,BIA,BIA,NGO,Slovenia
Centre for Social Work,Centre for Social Work,Slovenia,1,,,BID,BID,NGO,Slovenia
Centre for Social Work,Centre for Social Work,Slovenia,1,,,Identification and Referral of Children at Risk,Identification and Referral of Children at Risk,NGO,Slovenia
Centre for Social Work,Centre for Social Work,Slovenia,1,,,Safe accomodation,Safe accomodation,NGO,Slovenia
UNICEF,UNICEF,Slovenia,1,,,Advocacy,Advocacy,NGO,Slovenia
UNICEF,UNICEF,Slovenia,1,,,Capacity Building,Capacity Building,NGO,Slovenia
